#DEBUG: Format Typ    -> tdf
#DEBUG: Time Period   -> 2015-01-01 00:00:00+00:00 2015-01-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station	valid	lon	lat	 tmpc 	  dwpc 	  relh 	  drct 	  sped 	  p01m 	  vsby 	  gust_mph
NYC	2015-01-02 08:51	-73.9693	40.7790	2.80	-9.40	40.24	M	M	0.00	10.00	M
JFK	2015-01-02 08:51	-73.7622	40.6386	2.80	-6.10	51.95	260.00	13.8	0.00	10.00	M
NYC	2015-01-02 09:51	-73.9693	40.7790	2.20	-8.90	43.67	250.00	3.5	0.00	10.00	M
JFK	2015-01-02 09:51	-73.7622	40.6386	2.80	-7.20	47.75	260.00	13.8	0.00	10.00	M
LGA	2015-01-02 09:51	-73.8803	40.7794	2.80	-8.90	41.84	240.00	10.4	0.00	10.00	M
JFK	2015-01-02 10:51	-73.7622	40.6386	2.80	-7.20	47.75	260.00	15.0	0.00	10.00	M
LGA	2015-01-02 10:51	-73.8803	40.7794	2.80	-8.90	41.84	260.00	15.0	0.00	10.00	23.0
NYC	2015-01-02 10:51	-73.9693	40.7790	2.20	-8.90	43.67	260.00	8.1	0.00	10.00	M
LGA	2015-01-02 11:51	-73.8803	40.7794	2.80	-8.90	41.84	260.00	18.4	0.00	10.00	24.2
JFK	2015-01-02 11:51	-73.7622	40.6386	2.80	-7.80	45.58	260.00	13.8	0.00	10.00	M
NYC	2015-01-02 11:51	-73.9693	40.7790	2.20	-8.90	43.67	M	4.6	0.00	10.00	M
NYC	2015-01-02 12:51	-73.9693	40.7790	2.20	-8.90	43.67	250.00	6.9	0.00	10.00	M
LGA	2015-01-02 12:51	-73.8803	40.7794	2.80	-8.90	41.84	250.00	17.3	0.00	10.00	27.6
JFK	2015-01-02 12:51	-73.7622	40.6386	2.80	-7.80	45.58	250.00	12.7	0.00	10.00	M
NYC	2015-01-02 13:51	-73.9693	40.7790	3.30	-8.90	40.39	250.00	5.8	0.00	10.00	M
JFK	2015-01-02 13:51	-73.7622	40.6386	3.90	-7.80	42.18	250.00	17.3	0.00	10.00	M
LGA	2015-01-02 13:51	-73.8803	40.7794	3.30	-8.30	42.32	270.00	11.5	0.00	10.00	21.9
LGA	2015-01-02 14:51	-73.8803	40.7794	3.90	-8.30	40.57	250.00	19.6	0.00	10.00	26.5
NYC	2015-01-02 14:51	-73.9693	40.7790	3.90	-8.30	40.57	280.00	8.1	0.00	10.00	M
JFK	2015-01-02 14:51	-73.7622	40.6386	5.00	-7.80	39.05	260.00	20.7	0.00	10.00	M
LGA	2015-01-02 15:51	-73.8803	40.7794	4.40	-8.30	39.17	260.00	13.8	0.00	10.00	24.2
JFK	2015-01-02 15:51	-73.7622	40.6386	5.60	-7.80	37.46	270.00	19.6	0.00	10.00	27.6
NYC	2015-01-02 15:51	-73.9693	40.7790	5.00	-8.30	37.57	M	M	0.00	10.00	M
NYC	2015-01-02 16:51	-73.9693	40.7790	4.40	-8.30	39.17	290.00	11.5	0.00	10.00	23.0
LGA	2015-01-02 16:51	-73.8803	40.7794	4.40	-8.30	39.17	280.00	12.7	0.00	10.00	25.3
JFK	2015-01-02 16:51	-73.7622	40.6386	6.10	-8.30	34.81	280.00	18.4	0.00	10.00	27.6
NYC	2015-01-02 17:51	-73.9693	40.7790	5.00	-8.90	35.85	290.00	10.4	0.00	10.00	19.6
LGA	2015-01-02 17:51	-73.8803	40.7794	5.00	-7.20	40.90	290.00	18.4	0.00	10.00	26.5
JFK	2015-01-02 17:51	-73.7622	40.6386	6.70	-8.30	33.40	280.00	18.4	0.00	10.00	25.3
LGA	2015-01-02 18:51	-73.8803	40.7794	5.00	-7.20	40.90	310.00	13.8	0.00	10.00	23.0
NYC	2015-01-02 18:51	-73.9693	40.7790	5.60	-8.90	34.38	280.00	9.2	0.00	10.00	M
JFK	2015-01-02 18:51	-73.7622	40.6386	6.70	-8.90	31.87	280.00	13.8	0.00	10.00	24.2
LGA	2015-01-02 19:51	-73.8803	40.7794	5.60	-7.80	37.46	270.00	16.1	0.00	10.00	21.9
NYC	2015-01-02 19:51	-73.9693	40.7790	5.60	-8.90	34.38	M	M	0.00	10.00	M
JFK	2015-01-02 19:51	-73.7622	40.6386	6.70	-7.80	34.72	260.00	17.3	0.00	10.00	M
JFK	2015-01-02 20:51	-73.7622	40.6386	6.10	-9.40	31.94	280.00	18.4	0.00	10.00	M
LGA	2015-01-02 20:51	-73.8803	40.7794	5.00	-8.30	37.57	290.00	10.4	0.00	10.00	23.0
NYC	2015-01-02 20:51	-73.9693	40.7790	5.60	-9.40	33.06	290.00	8.1	0.00	10.00	17.3
NYC	2015-01-02 21:51	-73.9693	40.7790	5.00	-8.30	37.57	290.00	9.2	0.00	10.00	M
LGA	2015-01-02 21:51	-73.8803	40.7794	4.40	-8.30	39.17	260.00	11.5	0.00	10.00	M
JFK	2015-01-02 21:51	-73.7622	40.6386	5.00	-8.90	35.85	280.00	10.4	0.00	10.00	M
NYC	2015-01-02 22:51	-73.9693	40.7790	4.40	-8.90	37.38	290.00	6.9	0.00	10.00	19.6
JFK	2015-01-02 22:51	-73.7622	40.6386	5.00	-8.30	37.57	270.00	11.5	0.00	10.00	M
LGA	2015-01-02 22:51	-73.8803	40.7794	4.40	-8.30	39.17	260.00	12.7	0.00	10.00	M
JFK	2015-01-02 23:51	-73.7622	40.6386	4.40	-7.80	40.72	280.00	10.4	0.00	10.00	M
LGA	2015-01-02 23:51	-73.8803	40.7794	4.40	-7.80	40.72	270.00	15.0	0.00	10.00	21.9
NYC	2015-01-02 23:51	-73.9693	40.7790	4.40	-8.30	39.17	280.00	10.4	0.00	10.00	16.1
NYC	2015-01-03 00:51	-73.9693	40.7790	3.30	-7.80	44.00	M	5.8	0.00	10.00	M
LGA	2015-01-03 00:51	-73.8803	40.7794	3.90	-7.20	44.18	300.00	13.8	0.00	10.00	23.0
JFK	2015-01-03 00:51	-73.7622	40.6386	4.40	-7.80	40.72	280.00	11.5	0.00	10.00	M
NYC	2015-01-03 01:51	-73.9693	40.7790	3.30	-7.80	44.00	300.00	4.6	0.00	10.00	M
LGA	2015-01-03 01:51	-73.8803	40.7794	3.30	-6.10	50.14	310.00	10.4	0.00	10.00	M
JFK	2015-01-03 01:51	-73.7622	40.6386	4.40	-7.80	40.72	280.00	8.1	0.00	10.00	M
LGA	2015-01-03 02:51	-73.8803	40.7794	3.30	-5.60	52.09	330.00	9.2	0.00	10.00	M
NYC	2015-01-03 02:51	-73.9693	40.7790	2.80	-7.80	45.58	310.00	4.6	0.00	10.00	M
JFK	2015-01-03 02:51	-73.7622	40.6386	3.30	-7.20	46.09	290.00	6.9	0.00	10.00	M
JFK	2015-01-03 03:51	-73.7622	40.6386	2.80	-7.20	47.75	350.00	9.2	0.00	10.00	M
NYC	2015-01-03 03:51	-73.9693	40.7790	2.20	-7.20	49.83	70.00	3.5	0.00	10.00	M
LGA	2015-01-03 03:51	-73.8803	40.7794	2.20	-6.10	54.21	360.00	6.9	0.00	10.00	M
JFK	2015-01-03 04:51	-73.7622	40.6386	1.70	-6.10	56.18	10.00	9.2	0.00	10.00	M
NYC	2015-01-03 04:51	-73.9693	40.7790	1.70	-6.70	53.66	M	4.6	0.00	10.00	M
LGA	2015-01-03 04:51	-73.8803	40.7794	1.70	-5.60	58.37	10.00	9.2	0.00	10.00	M
LGA	2015-01-03 05:51	-73.8803	40.7794	1.70	-6.70	53.66	350.00	5.8	0.00	10.00	M
NYC	2015-01-03 05:51	-73.9693	40.7790	1.70	-7.80	49.30	340.00	6.9	0.00	10.00	M
JFK	2015-01-03 05:51	-73.7622	40.6386	1.70	-6.70	53.66	360.00	8.1	0.00	10.00	M
LGA	2015-01-03 06:51	-73.8803	40.7794	1.10	-6.70	56.02	20.00	5.8	0.00	10.00	M
JFK	2015-01-03 06:51	-73.7622	40.6386	0.60	-7.20	55.89	40.00	3.5	0.00	10.00	M
NYC	2015-01-03 06:51	-73.9693	40.7790	1.10	-7.80	51.47	0.00	0.0	0.00	10.00	M
LGA	2015-01-03 07:51	-73.8803	40.7794	1.10	-6.10	58.66	30.00	4.6	0.00	10.00	M
NYC	2015-01-03 07:51	-73.9693	40.7790	1.70	-8.90	45.26	30.00	5.8	0.00	10.00	M
JFK	2015-01-03 07:51	-73.7622	40.6386	0.60	-7.20	55.89	0.00	0.0	0.00	10.00	M
NYC	2015-01-03 08:51	-73.9693	40.7790	1.70	-8.30	47.42	70.00	6.9	0.00	10.00	M
LGA	2015-01-03 08:51	-73.8803	40.7794	1.10	-6.10	58.66	50.00	4.6	0.00	10.00	M
JFK	2015-01-03 08:51	-73.7622	40.6386	0.00	-6.70	60.66	0.00	0.0	0.00	10.00	M
JFK	2015-01-03 09:51	-73.7622	40.6386	-0.60	-6.70	63.36	0.00	0.0	0.00	10.00	M
NYC	2015-01-03 09:51	-73.9693	40.7790	1.10	-7.80	51.47	60.00	5.8	0.00	10.00	M
LGA	2015-01-03 09:51	-73.8803	40.7794	0.60	-5.60	63.17	80.00	6.9	0.00	10.00	M
LGA	2015-01-03 10:51	-73.8803	40.7794	0.00	-5.60	65.97	100.00	6.9	0.00	10.00	M
NYC	2015-01-03 10:51	-73.9693	40.7790	1.10	-6.70	56.02	M	5.8	0.00	10.00	M
JFK	2015-01-03 10:51	-73.7622	40.6386	-1.10	-6.70	65.72	60.00	5.8	0.00	10.00	M
JFK	2015-01-03 11:51	-73.7622	40.6386	-0.60	-6.10	66.34	50.00	8.1	0.00	10.00	M
LGA	2015-01-03 11:51	-73.8803	40.7794	0.00	-6.10	63.51	80.00	8.1	0.00	10.00	M
NYC	2015-01-03 11:51	-73.9693	40.7790	1.10	-6.70	56.02	M	5.8	0.00	10.00	M
JFK	2015-01-03 12:51	-73.7622	40.6386	0.00	-6.10	63.51	60.00	10.4	0.00	10.00	M
NYC	2015-01-03 12:51	-73.9693	40.7790	1.10	-6.70	56.02	120.00	9.2	0.00	10.00	M
LGA	2015-01-03 12:51	-73.8803	40.7794	0.00	-6.10	63.51	100.00	10.4	0.00	10.00	M
LGA	2015-01-03 13:51	-73.8803	40.7794	0.60	-6.70	58.08	90.00	11.5	0.00	10.00	M
JFK	2015-01-03 13:51	-73.7622	40.6386	1.70	-6.70	53.66	80.00	12.7	0.00	10.00	M
NYC	2015-01-03 13:51	-73.9693	40.7790	1.70	-7.80	49.30	M	6.9	0.00	10.00	16.1
JFK	2015-01-03 14:51	-73.7622	40.6386	2.80	-7.20	47.75	70.00	10.4	0.00	10.00	M
NYC	2015-01-03 14:51	-73.9693	40.7790	2.20	-7.80	47.57	M	3.5	0.00	10.00	M
LGA	2015-01-03 14:51	-73.8803	40.7794	1.70	-7.20	51.64	80.00	9.2	0.00	10.00	M
NYC	2015-01-03 15:15	-73.9693	40.7790	2.80	-7.20	47.75	80.00	8.1	0.00	10.00	M
NYC	2015-01-03 15:41	-73.9693	40.7790	2.80	-7.20	47.75	110.00	9.2	0.00	10.00	M
JFK	2015-01-03 15:51	-73.7622	40.6386	3.90	-5.00	52.26	80.00	12.7	0.00	10.00	M
NYC	2015-01-03 15:51	-73.9693	40.7790	2.80	-7.20	47.75	110.00	8.1	0.00	10.00	M
LGA	2015-01-03 15:51	-73.8803	40.7794	2.80	-6.10	51.95	90.00	12.7	0.00	10.00	M
NYC	2015-01-03 16:51	-73.9693	40.7790	3.30	-5.60	52.09	M	4.6	0.00	10.00	M
LGA	2015-01-03 16:51	-73.8803	40.7794	3.90	-5.00	52.26	100.00	11.5	0.00	10.00	M
JFK	2015-01-03 16:51	-73.7622	40.6386	3.90	-3.30	59.37	80.00	11.5	0.00	10.00	M
JFK	2015-01-03 17:16	-73.7622	40.6386	4.00	-3.00	60.29	90.00	11.5	0.00	10.00	M
NYC	2015-01-03 17:20	-73.9693	40.7790	3.30	-4.40	57.04	100.00	9.2	0.00	1.75	M
LGA	2015-01-03 17:27	-73.8803	40.7794	3.00	-3.00	64.70	90.00	12.7	0.00	2.50	M
NYC	2015-01-03 17:39	-73.9693	40.7790	2.20	-2.20	72.66	M	6.9	0.25	0.50	M
LGA	2015-01-03 17:39	-73.8803	40.7794	2.00	-2.00	74.80	90.00	12.7	0.25	0.75	M
JFK	2015-01-03 17:51	-73.7622	40.6386	4.40	-0.60	69.96	100.00	10.4	0.00	10.00	M
NYC	2015-01-03 17:51	-73.9693	40.7790	1.70	-1.70	78.13	120.00	8.1	0.25	2.00	M
LGA	2015-01-03 17:51	-73.8803	40.7794	1.70	-1.10	81.65	80.00	10.4	0.25	1.00	M
NYC	2015-01-03 18:02	-73.9693	40.7790	2.20	-1.10	78.79	80.00	8.1	0.00	5.00	M
LGA	2015-01-03 18:12	-73.8803	40.7794	2.00	-1.00	80.51	60.00	10.4	0.00	5.00	M
NYC	2015-01-03 18:22	-73.9693	40.7790	1.70	-1.10	81.65	60.00	8.1	0.25	1.75	M
LGA	2015-01-03 18:32	-73.8803	40.7794	1.00	-1.00	86.49	30.00	9.2	0.00	1.50	M
LGA	2015-01-03 18:51	-73.8803	40.7794	1.10	-0.60	88.42	50.00	11.5	0.51	1.50	M
JFK	2015-01-03 18:51	-73.7622	40.6386	4.40	0.60	76.32	100.00	6.9	0.76	10.00	M
NYC	2015-01-03 18:51	-73.9693	40.7790	1.10	-1.10	85.24	70.00	8.1	1.02	1.50	M
LGA	2015-01-03 19:04	-73.8803	40.7794	1.00	-1.00	86.49	60.00	11.5	0.25	1.25	M
NYC	2015-01-03 19:11	-73.9693	40.7790	1.10	-1.10	85.24	90.00	8.1	0.25	1.00	M
LGA	2015-01-03 19:11	-73.8803	40.7794	1.00	-1.00	86.49	70.00	11.5	0.25	1.50	M
NYC	2015-01-03 19:20	-73.9693	40.7790	1.10	-1.10	85.24	M	5.8	0.51	0.75	M
LGA	2015-01-03 19:30	-73.8803	40.7794	1.00	-1.00	86.49	70.00	11.5	0.00	0.75	M
JFK	2015-01-03 19:37	-73.7622	40.6386	4.00	1.00	80.79	90.00	10.4	1.27	6.00	23.0
LGA	2015-01-03 19:41	-73.8803	40.7794	1.00	-1.00	86.49	70.00	8.1	1.27	0.75	M
NYC	2015-01-03 19:42	-73.9693	40.7790	1.10	-0.60	88.42	M	6.9	1.27	1.00	M
LGA	2015-01-03 19:47	-73.8803	40.7794	1.00	0.00	93.03	80.00	8.1	1.27	1.00	M
NYC	2015-01-03 19:51	-73.9693	40.7790	1.10	-0.60	88.42	60.00	5.8	1.27	1.75	M
JFK	2015-01-03 19:51	-73.7622	40.6386	3.90	0.60	79.05	90.00	16.1	1.78	5.00	M
LGA	2015-01-03 19:51	-73.8803	40.7794	0.60	0.00	95.75	80.00	8.1	1.27	1.00	M
NYC	2015-01-03 20:16	-73.9693	40.7790	1.10	-0.60	88.42	90.00	4.6	1.02	1.75	M
NYC	2015-01-03 20:23	-73.9693	40.7790	1.70	-0.60	84.69	M	4.6	1.27	2.00	M
JFK	2015-01-03 20:24	-73.7622	40.6386	4.00	1.00	80.79	90.00	8.1	1.02	2.50	M
NYC	2015-01-03 20:36	-73.9693	40.7790	1.70	0.00	88.47	70.00	6.9	1.52	1.75	M
LGA	2015-01-03 20:49	-73.8803	40.7794	1.00	1.00	100.00	50.00	9.2	2.03	1.00	M
JFK	2015-01-03 20:51	-73.7622	40.6386	3.90	1.70	85.55	70.00	10.4	1.52	2.50	M
LGA	2015-01-03 20:51	-73.8803	40.7794	1.10	0.60	96.46	50.00	10.4	2.03	1.00	M
NYC	2015-01-03 20:51	-73.9693	40.7790	1.70	0.00	88.47	M	6.9	1.78	1.50	M
JFK	2015-01-03 21:04	-73.7622	40.6386	4.00	2.00	86.79	70.00	11.5	0.51	2.50	M
NYC	2015-01-03 21:31	-73.9693	40.7790	1.70	0.00	88.47	80.00	5.8	1.02	2.50	M
LGA	2015-01-03 21:33	-73.8803	40.7794	2.00	1.00	93.08	40.00	11.5	1.02	1.00	M
NYC	2015-01-03 21:38	-73.9693	40.7790	2.20	0.00	85.37	M	5.8	1.27	3.00	M
