#DEBUG: Format Typ    -> tdf
#DEBUG: Time Period   -> 2014-12-01 00:00:00+00:00 2017-01-31 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station	valid	tmpc	p01m
JFK	2014-12-02 18:51	4.40	  0.0
NYC	2014-12-02 19:15	3.30	  1.0
JFK	2014-12-02 19:51	4.40	  0.0
LGA	2014-12-02 19:51	3.90	 0.29
NYC	2014-12-02 19:51	3.30	 0.29
NYC	2014-12-02 20:38	3.90	  0.0
LGA	2014-12-02 20:51	3.90	  0.0
NYC	2014-12-02 20:51	3.90	  0.0
JFK	2014-12-02 20:51	5.00	  0.0
NYC	2014-12-02 21:05	4.40	  0.0
NYC	2014-12-02 21:48	4.00	  0.0
NYC	2014-12-02 21:51	4.40	  0.0
JFK	2014-12-02 21:51	5.00	  0.0
LGA	2014-12-02 21:51	4.40	  0.0
JFK	2014-12-02 22:11	4.00	  0.0
NYC	2014-12-02 22:23	4.40	  0.0
NYC	2014-12-02 22:51	5.00	  0.0
LGA	2014-12-02 22:51	5.00	  0.0
JFK	2014-12-02 22:51	5.00	 0.29
JFK	2014-12-02 23:05	5.00	  0.0
LGA	2014-12-02 23:22	5.00	  0.0
LGA	2014-12-02 23:51	5.00	  0.0
JFK	2014-12-02 23:51	5.00	  0.0
NYC	2014-12-02 23:51	5.00	  0.0
LGA	2014-12-03 00:17	6.00	  0.0
NYC	2014-12-03 00:39	5.00	  0.0
LGA	2014-12-03 00:51	5.00	  0.0
JFK	2014-12-03 00:51	5.60	  0.0
NYC	2014-12-03 00:51	5.00	  0.0
LGA	2014-12-03 01:05	5.00	  0.0
LGA	2014-12-03 01:43	6.00	  0.0
NYC	2014-12-03 01:51	5.60	  0.0
JFK	2014-12-03 01:51	7.20	  0.6
LGA	2014-12-03 01:51	5.60	  0.0
JFK	2014-12-03 02:51	7.80	 0.29
LGA	2014-12-03 02:51	5.60	 0.29
NYC	2014-12-03 02:51	5.60	 0.29
LGA	2014-12-03 03:25	6.00	 1.82
LGA	2014-12-03 03:47	6.00	 1.62
NYC	2014-12-03 03:47	6.00	 0.97
JFK	2014-12-03 03:51	7.80	  1.2
NYC	2014-12-03 03:51	6.10	 0.89
LGA	2014-12-03 03:51	5.60	 1.49
LGA	2014-12-03 04:30	6.00	 1.02
LGA	2014-12-03 04:47	6.00	 0.65
LGA	2014-12-03 04:51	5.00	  0.6
JFK	2014-12-03 04:51	8.30	 0.29
NYC	2014-12-03 04:51	6.10	  0.6
NYC	2014-12-03 05:51	5.00	  0.0
JFK	2014-12-03 05:51	6.70	 0.29
LGA	2014-12-03 05:51	5.00	  0.0
NYC	2014-12-03 06:20	5.00	 0.75
JFK	2014-12-03 06:51	7.20	  0.0
NYC	2014-12-03 06:51	5.00	 0.29
LGA	2014-12-03 06:51	5.00	  0.0
JFK	2014-12-03 07:43	6.00	 0.35
LGA	2014-12-03 07:51	5.00	 0.29
JFK	2014-12-03 07:51	6.10	 0.29
NYC	2014-12-03 07:51	5.60	  0.0
NYC	2014-12-03 08:26	5.60	  0.0
JFK	2014-12-03 08:51	6.10	  0.0
LGA	2014-12-03 08:51	5.00	  0.0
NYC	2014-12-03 08:51	5.60	  0.0
NYC	2014-12-03 09:01	5.60	  0.0
NYC	2014-12-03 09:43	5.60	  0.0
NYC	2014-12-03 09:51	5.60	  0.0
JFK	2014-12-03 09:51	6.10	  0.0
LGA	2014-12-03 09:51	5.60	  0.0
NYC	2014-12-03 10:05	5.60	  0.0
NYC	2014-12-03 10:51	6.10	  0.0
JFK	2014-12-03 10:51	6.70	  0.0
LGA	2014-12-03 10:51	5.60	  0.0
JFK	2014-12-03 11:05	6.00	  0.0
JFK	2014-12-03 11:18	7.00	  0.0
LGA	2014-12-03 11:46	6.00	  0.0
NYC	2014-12-03 11:51	7.20	  0.0
LGA	2014-12-03 11:51	6.10	  0.0
JFK	2014-12-03 11:51	7.20	  0.0
JFK	2014-12-03 12:10	8.00	  0.0
LGA	2014-12-03 12:10	7.00	  0.0
NYC	2014-12-03 12:12	7.20	  0.0
NYC	2014-12-03 12:22	7.20	  0.0
NYC	2014-12-03 12:51	7.20	  0.0
JFK	2014-12-03 12:51	8.30	  0.0
LGA	2014-12-03 12:51	7.20	  0.0
LGA	2014-12-03 12:59	7.00	  0.0
LGA	2014-12-03 13:48	8.00	  0.0
NYC	2014-12-03 13:51	7.20	  0.0
JFK	2014-12-03 13:51	8.30	  0.6
LGA	2014-12-03 13:51	7.80	  0.0
LGA	2014-12-03 13:58	8.00	  0.0
NYC	2014-12-03 14:14	7.20	  0.0
JFK	2014-12-03 14:29	8.00	  0.0
LGA	2014-12-03 14:40	8.00	  0.0
LGA	2014-12-03 14:51	7.80	  0.0
JFK	2014-12-03 14:51	7.80	  0.0
NYC	2014-12-03 14:51	7.20	  0.0
LGA	2014-12-03 15:33	8.00	  0.0
LGA	2014-12-03 15:51	7.20	  0.0
NYC	2014-12-03 15:51	7.20	  0.0
JFK	2014-12-03 15:51	7.80	  0.0
LGA	2014-12-03 15:58	7.00	  0.0
LGA	2014-12-03 16:38	7.00	  0.0
NYC	2014-12-03 16:44	7.20	  0.0
JFK	2014-12-03 16:51	7.80	  0.0
NYC	2014-12-03 16:51	7.20	  0.0
LGA	2014-12-03 16:51	7.20	  0.0
NYC	2014-12-03 17:51	7.20	 0.29
JFK	2014-12-03 17:51	7.80	  0.0
LGA	2014-12-03 17:51	6.70	  0.0
JFK	2014-12-03 18:08	8.00	  0.0
LGA	2014-12-03 18:13	7.00	 2.35
NYC	2014-12-03 18:16	6.70	 0.94
JFK	2014-12-03 18:34	8.00	  1.8
JFK	2014-12-03 18:51	7.80	 1.79
NYC	2014-12-03 18:51	6.70	  0.6
LGA	2014-12-03 18:51	6.70	  1.2
NYC	2014-12-03 19:25	6.70	 1.22
JFK	2014-12-03 19:48	8.00	 1.28
JFK	2014-12-03 19:51	7.80	  1.2
NYC	2014-12-03 19:51	7.20	  0.6
LGA	2014-12-03 19:51	7.20	 1.49
JFK	2014-12-03 20:20	8.00	 0.75
NYC	2014-12-03 20:46	8.00	  0.0
NYC	2014-12-03 20:51	7.80	  0.0
LGA	2014-12-03 20:51	7.80	  0.0
JFK	2014-12-03 20:51	8.90	 0.29
LGA	2014-12-03 21:46	8.00	  0.0
LGA	2014-12-03 21:51	8.30	  0.0
NYC	2014-12-03 21:51	7.80	  0.0
JFK	2014-12-03 21:51	8.90	  0.0
JFK	2014-12-03 22:21	9.00	  0.0
NYC	2014-12-03 22:22	7.80	  0.0
LGA	2014-12-03 22:40	8.00	  0.0
NYC	2014-12-03 22:51	7.80	  0.0
LGA	2014-12-03 22:51	7.80	  0.0
JFK	2014-12-03 22:51	8.90	  0.0
NYC	2014-12-03 23:09	7.80	  0.0
JFK	2014-12-03 23:23	8.00	  0.0
NYC	2014-12-03 23:37	7.80	  0.0
LGA	2014-12-03 23:47	8.00	  0.0
NYC	2014-12-03 23:48	7.00	  0.0
JFK	2014-12-03 23:49	8.00	  0.0
NYC	2014-12-03 23:51	7.20	  0.0
JFK	2014-12-03 23:51	8.30	  0.0
LGA	2014-12-03 23:51	7.80	  0.0
JFK	2014-12-04 00:51	7.80	  0.0
NYC	2014-12-04 00:51	7.20	  0.0
LGA	2014-12-04 00:51	7.80	  0.0
LGA	2014-12-04 01:51	7.20	  0.0
NYC	2014-12-04 01:51	6.70	  0.0
JFK	2014-12-04 01:51	7.20	  0.0
NYC	2014-12-04 02:51	6.10	  0.0
LGA	2014-12-04 02:51	6.70	  0.0
JFK	2014-12-04 02:51	6.70	  0.0
NYC	2014-12-04 03:51	5.60	  0.0
JFK	2014-12-04 03:51	6.10	  0.0
LGA	2014-12-04 03:51	6.10	  0.0
JFK	2014-12-04 04:51	5.60	  0.0
NYC	2014-12-04 04:51	5.00	  0.0
LGA	2014-12-04 04:51	5.60	  0.0
LGA	2014-12-04 05:51	5.00	  0.0
NYC	2014-12-04 05:51	4.40	  0.0
JFK	2014-12-04 05:51	5.00	  0.0
JFK	2014-12-04 06:51	4.40	  0.0
NYC	2014-12-04 06:51	4.40	  0.0
LGA	2014-12-04 06:51	4.40	  0.0
NYC	2014-12-04 07:51	3.30	  0.0
LGA	2014-12-04 07:51	4.40	  0.0
JFK	2014-12-04 07:51	3.90	  0.0
JFK	2014-12-04 08:51	3.30	  0.0
NYC	2014-12-04 08:51	3.30	  0.0
LGA	2014-12-04 08:51	3.90	  0.0
LGA	2014-12-04 09:51	3.90	  0.0
JFK	2014-12-04 09:51	3.30	  0.0
NYC	2014-12-04 09:51	3.30	  0.0
LGA	2014-12-04 10:51	3.90	  0.0
JFK	2014-12-04 10:51	2.80	  0.0
NYC	2014-12-04 10:51	2.80	  0.0
JFK	2014-12-04 11:51	3.30	  0.0
LGA	2014-12-04 11:51	3.90	  0.0
NYC	2014-12-04 11:51	3.30	  0.0
JFK	2014-12-04 12:51	3.30	  0.0
NYC	2014-12-04 12:51	3.30	  0.0
LGA	2014-12-04 12:51	3.90	  0.0
NYC	2014-12-04 13:51	3.90	  0.0
JFK	2014-12-04 13:51	4.40	  0.0
LGA	2014-12-04 13:51	4.40	  0.0
LGA	2014-12-04 14:51	5.00	  0.0
NYC	2014-12-04 14:51	4.40	  0.0
JFK	2014-12-04 14:51	5.60	  0.0
NYC	2014-12-04 15:51	5.60	  0.0
LGA	2014-12-04 15:51	5.00	  0.0
JFK	2014-12-04 15:51	6.70	  0.0
LGA	2014-12-04 16:51	6.70	  0.0
NYC	2014-12-04 16:51	6.70	  0.0
JFK	2014-12-04 16:51	7.20	  0.0
NYC	2014-12-04 17:51	7.20	  0.0
JFK	2014-12-04 17:51	8.30	  0.0
LGA	2014-12-04 17:51	7.20	  0.0
LGA	2014-12-04 18:51	7.20	  0.0
NYC	2014-12-04 18:51	6.70	  0.0
JFK	2014-12-04 18:51	8.30	  0.0
NYC	2014-12-04 19:51	7.20	  0.0
JFK	2014-12-04 19:51	7.20	  0.0
LGA	2014-12-04 19:51	6.70	  0.0
NYC	2014-12-04 20:51	6.70	  0.0
JFK	2014-12-04 20:51	7.20	  0.0
LGA	2014-12-04 20:51	6.10	  0.0
NYC	2014-12-04 21:51	5.60	  0.0
JFK	2014-12-04 21:51	6.10	  0.0
LGA	2014-12-04 21:51	5.60	  0.0
JFK	2014-12-04 22:51	5.60	  0.0
NYC	2014-12-04 22:51	5.00	  0.0
LGA	2014-12-04 22:51	5.00	  0.0
NYC	2014-12-04 23:51	4.40	  0.0
JFK	2014-12-04 23:51	4.40	  0.0
LGA	2014-12-04 23:51	4.40	  0.0
JFK	2014-12-05 00:51	4.40	  0.0
LGA	2014-12-05 00:51	3.90	  0.0
NYC	2014-12-05 00:51	3.90	  0.0
NYC	2014-12-05 01:51	3.30	  0.0
LGA	2014-12-05 01:51	3.90	  0.0
JFK	2014-12-05 01:51	3.90	  0.0
LGA	2014-12-05 02:51	3.30	  0.0
NYC	2014-12-05 02:51	2.80	  0.0
JFK	2014-12-05 02:51	3.30	  0.0
JFK	2014-12-05 03:51	3.30	  0.0
LGA	2014-12-05 03:51	2.80	  0.0
NYC	2014-12-05 03:51	2.80	  0.0
NYC	2014-12-05 04:51	2.80	  0.0
JFK	2014-12-05 04:51	3.30	  0.0
LGA	2014-12-05 04:51	2.80	  0.0
JFK	2014-12-05 05:51	3.30	  0.0
NYC	2014-12-05 05:51	2.20	  0.0
LGA	2014-12-05 05:51	2.20	  0.0
LGA	2014-12-05 06:51	1.70	  0.0
JFK	2014-12-05 06:51	2.80	  0.0
NYC	2014-12-05 06:51	1.70	  0.0
JFK	2014-12-05 07:51	2.20	  0.0
LGA	2014-12-05 07:51	1.70	  0.0
NYC	2014-12-05 07:51	1.70	  0.0
JFK	2014-12-05 08:51	2.20	  0.0
LGA	2014-12-05 08:51	1.10	  0.0
NYC	2014-12-05 08:51	1.70	  0.0
LGA	2014-12-05 09:51	1.10	  0.0
JFK	2014-12-05 09:51	2.20	  0.0
NYC	2014-12-05 09:51	1.70	  0.0
LGA	2014-12-05 10:51	1.10	  0.0
NYC	2014-12-05 10:51	1.10	  0.0
JFK	2014-12-05 10:51	2.20	  0.0
JFK	2014-12-05 11:51	2.20	  0.0
NYC	2014-12-05 11:51	1.10	  0.0
LGA	2014-12-05 11:51	1.70	  0.0
JFK	2014-12-05 12:51	2.80	  0.0
LGA	2014-12-05 12:51	1.70	  0.0
NYC	2014-12-05 12:51	1.70	  0.0
LGA	2014-12-05 13:32	3.00	  0.0
JFK	2014-12-05 13:51	4.40	  0.0
NYC	2014-12-05 13:51	2.80	  0.0
LGA	2014-12-05 13:51	2.80	  0.0
NYC	2014-12-05 13:58	2.80	  0.0
NYC	2014-12-05 14:51	3.90	  0.0
LGA	2014-12-05 14:51	3.90	  0.0
JFK	2014-12-05 14:51	5.60	  0.0
JFK	2014-12-05 15:51	6.70	  0.0
NYC	2014-12-05 15:51	4.40	  0.0
LGA	2014-12-05 15:51	4.40	  0.0
JFK	2014-12-05 16:51	7.20	  0.0
NYC	2014-12-05 16:51	4.40	  0.0
LGA	2014-12-05 16:51	5.00	  0.0
LGA	2014-12-05 17:51	5.00	  0.0
NYC	2014-12-05 17:51	5.00	  0.0
JFK	2014-12-05 17:51	7.20	  0.0
NYC	2014-12-05 18:51	5.60	  0.0
JFK	2014-12-05 18:51	7.20	  0.0
LGA	2014-12-05 18:51	5.60	  0.0
LGA	2014-12-05 19:51	6.10	  0.0
JFK	2014-12-05 19:51	7.20	  0.0
NYC	2014-12-05 19:51	6.10	  0.0
NYC	2014-12-05 20:51	6.10	  0.0
LGA	2014-12-05 20:51	6.70	  0.0
JFK	2014-12-05 20:51	7.20	  0.0
LGA	2014-12-05 21:51	6.70	  0.0
JFK	2014-12-05 21:51	8.30	  0.0
NYC	2014-12-05 21:51	6.70	  0.0
NYC	2014-12-05 22:35	6.10	 0.43
JFK	2014-12-05 22:51	8.90	  0.0
NYC	2014-12-05 22:51	6.10	 0.29
LGA	2014-12-05 22:51	5.60	  0.0
JFK	2014-12-05 23:22	9.00	 0.68
LGA	2014-12-05 23:40	6.00	  0.0
NYC	2014-12-05 23:51	6.10	  1.2
JFK	2014-12-05 23:51	8.90	  1.2
LGA	2014-12-05 23:51	6.10	 0.89
NYC	2014-12-06 00:01	6.10	 15.0
LGA	2014-12-06 00:08	6.00	 3.83
LGA	2014-12-06 00:21	6.00	 2.17
NYC	2014-12-06 00:24	6.70	  1.9
NYC	2014-12-06 00:35	6.70	 1.75
LGA	2014-12-06 00:51	6.10	 2.09
NYC	2014-12-06 00:51	6.70	 2.09
JFK	2014-12-06 00:51	8.90	 1.79
LGA	2014-12-06 01:30	7.00	  0.0
LGA	2014-12-06 01:46	7.00	 2.99
NYC	2014-12-06 01:47	7.00	 2.27
JFK	2014-12-06 01:51	9.40	 1.79
NYC	2014-12-06 01:51	6.70	 2.09
LGA	2014-12-06 01:51	7.20	 2.99
NYC	2014-12-06 02:13	6.70	 2.35
NYC	2014-12-06 02:22	6.70	 2.07
NYC	2014-12-06 02:42	5.60	 1.81
LGA	2014-12-06 02:47	8.00	 1.62
NYC	2014-12-06 02:51	5.00	 2.39
LGA	2014-12-06 02:51	8.30	 1.79
JFK	2014-12-06 02:51	10.00	 2.09
LGA	2014-12-06 03:10	7.00	 7.62
NYC	2014-12-06 03:22	5.00	 4.15
JFK	2014-12-06 03:30	8.00	 5.58
LGA	2014-12-06 03:32	6.00	 4.29
NYC	2014-12-06 03:37	5.00	 3.71
NYC	2014-12-06 03:51	5.00	 3.59
JFK	2014-12-06 03:51	7.80	 5.38
LGA	2014-12-06 03:51	5.60	 4.19
NYC	2014-12-06 04:05	5.00	 9.12
LGA	2014-12-06 04:08	6.00	 7.65
NYC	2014-12-06 04:15	5.60	 5.08
NYC	2014-12-06 04:44	5.60	  3.8
LGA	2014-12-06 04:51	6.10	 3.28
NYC	2014-12-06 04:51	5.60	 3.28
JFK	2014-12-06 04:51	8.30	 3.88
NYC	2014-12-06 05:11	6.10	 2.78
NYC	2014-12-06 05:30	6.10	 1.02
LGA	2014-12-06 05:38	7.00	 1.61
NYC	2014-12-06 05:42	6.70	 1.09
NYC	2014-12-06 05:51	6.70	 0.89
LGA	2014-12-06 05:51	6.70	  1.2
JFK	2014-12-06 05:51	7.80	 0.89
NYC	2014-12-06 05:58	6.70	  0.0
NYC	2014-12-06 06:06	6.10	  0.0
NYC	2014-12-06 06:31	6.10	  0.0
NYC	2014-12-06 06:39	5.60	 0.38
LGA	2014-12-06 06:44	7.00	 0.34
JFK	2014-12-06 06:51	7.80	 0.29
NYC	2014-12-06 06:51	5.60	 0.29
LGA	2014-12-06 06:51	6.70	 0.29
NYC	2014-12-06 07:31	5.60	 0.99
LGA	2014-12-06 07:41	6.00	 1.11
NYC	2014-12-06 07:51	5.60	 0.89
LGA	2014-12-06 07:51	6.10	 0.89
JFK	2014-12-06 07:51	7.80	 0.89
NYC	2014-12-06 08:00	5.60	  0.0
NYC	2014-12-06 08:16	5.60	 0.94
LGA	2014-12-06 08:18	6.00	  1.7
LGA	2014-12-06 08:30	6.00	  0.0
JFK	2014-12-06 08:51	7.20	 1.49
LGA	2014-12-06 08:51	6.10	  1.2
NYC	2014-12-06 08:51	5.60	 0.89
LGA	2014-12-06 09:05	6.00	  0.0
NYC	2014-12-06 09:14	6.10	  0.0
LGA	2014-12-06 09:28	7.00	  0.0
NYC	2014-12-06 09:33	6.10	 0.45
LGA	2014-12-06 09:36	6.00	 0.85
NYC	2014-12-06 09:46	6.00	 1.33
LGA	2014-12-06 09:46	6.00	 1.33
JFK	2014-12-06 09:51	7.20	 0.29
LGA	2014-12-06 09:51	6.70	  1.2
NYC	2014-12-06 09:51	6.10	 1.49
NYC	2014-12-06 10:02	6.10	  0.0
LGA	2014-12-06 10:13	7.00	 2.35
NYC	2014-12-06 10:21	6.10	 1.46
NYC	2014-12-06 10:34	6.10	 1.34
LGA	2014-12-06 10:36	7.00	 0.85
JFK	2014-12-06 10:51	7.20	 0.29
LGA	2014-12-06 10:51	7.20	 0.89
NYC	2014-12-06 10:51	6.10	 0.89
LGA	2014-12-06 11:04	7.00	  0.0
NYC	2014-12-06 11:15	6.70	  0.0
NYC	2014-12-06 11:28	6.70	  0.0
JFK	2014-12-06 11:47	8.00	  0.0
LGA	2014-12-06 11:51	7.20	  0.0
JFK	2014-12-06 11:51	7.80	  0.0
NYC	2014-12-06 11:51	6.70	  0.0
LGA	2014-12-06 11:58	7.00	  0.0
JFK	2014-12-06 12:23	8.00	  0.0
NYC	2014-12-06 12:51	7.20	 0.29
JFK	2014-12-06 12:51	7.80	  0.0
LGA	2014-12-06 12:51	7.20	 0.29
LGA	2014-12-06 13:08	7.00	  0.0
JFK	2014-12-06 13:51	8.90	  0.0
NYC	2014-12-06 13:51	7.80	  0.0
LGA	2014-12-06 13:51	7.80	  0.0
NYC	2014-12-06 14:51	8.90	  0.0
LGA	2014-12-06 14:51	8.90	  0.0
JFK	2014-12-06 14:51	10.00	  0.0
JFK	2014-12-06 15:51	10.00	  0.0
LGA	2014-12-06 15:51	9.40	  0.0
NYC	2014-12-06 15:51	10.00	  0.0
NYC	2014-12-06 16:25	9.40	  0.0
LGA	2014-12-06 16:30	9.00	  0.5
LGA	2014-12-06 16:33	9.00	 0.45
NYC	2014-12-06 16:45	9.00	 2.37
LGA	2014-12-06 16:51	9.40	 2.09
NYC	2014-12-06 16:51	9.40	 2.39
JFK	2014-12-06 16:51	10.60	  0.6
NYC	2014-12-06 16:58	9.40	 0.53
NYC	2014-12-06 17:03	9.40	 10.2
NYC	2014-12-06 17:19	8.90	 4.01
NYC	2014-12-06 17:38	9.40	  2.4
LGA	2014-12-06 17:39	8.00	 5.08
JFK	2014-12-06 17:40	11.00	  0.0
NYC	2014-12-06 17:51	9.40	 2.09
LGA	2014-12-06 17:51	7.80	 4.19
JFK	2014-12-06 17:51	10.60	 2.09
NYC	2014-12-06 18:02	8.90	  7.5
JFK	2014-12-06 18:09	11.00	 5.07
NYC	2014-12-06 18:19	8.90	 1.61
JFK	2014-12-06 18:22	11.00	 3.46
JFK	2014-12-06 18:28	11.00	  0.0
LGA	2014-12-06 18:38	8.00	  0.0
JFK	2014-12-06 18:39	11.00	 3.12
JFK	2014-12-06 18:51	10.60	 2.69
NYC	2014-12-06 18:51	8.30	 1.79
LGA	2014-12-06 18:51	7.20	  1.2
JFK	2014-12-06 18:55	11.00	 0.27
NYC	2014-12-06 19:29	8.30	 2.63
JFK	2014-12-06 19:48	11.00	 9.21
NYC	2014-12-06 19:51	8.30	 2.69
LGA	2014-12-06 19:51	7.20	 2.69
JFK	2014-12-06 19:51	10.60	 8.67
NYC	2014-12-06 19:57	7.80	  0.0
NYC	2014-12-06 20:04	7.80	 11.4
LGA	2014-12-06 20:05	7.00	 6.12
JFK	2014-12-06 20:51	10.00	 5.08
LGA	2014-12-06 20:51	7.20	 4.78
